,Name,OnTerritoryOfMoscow,AdmArea,District,Longitude_WGS84,Latitude_WGS84,VestibuleType,NameOfStation,Line,CulturalHeritageSiteStatus,ModeOnEvenDays,ModeOnOddDays,FullFeaturedBPAAmount,LittleFunctionalBPAAmount,BPAAmount,RepairOfEscalators,ObjectStatus,global_id,geoData,x,y
925,"Косино, вход-выход 5 в вестибюль 1",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.850991,55.702815,подземный,Косино,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50",3,,3,[],действует,930238047,"{'coordinates': [37.850991, 55.702815], 'type': 'Point'}",37.850991,55.702815
926,"Косино, вход-выход 7 в вестибюль 2",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.850286,55.704281,подземный,Косино,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:40:00, последний поезд по 2 пути в 00:35:50",6,,6,[{'RepairOfEscalators': '29.06.2022-30.10.2022'}],действует,930240593,"{'coordinates': [37.850286, 55.704281], 'type': 'Point'}",37.850286,55.704281
927,"Спортивная, выход из северного вестибюля",да,Центральный административный округ,район Хамовники,37.5655148,55.7239984,наземный отдельностоящий,Спортивная,Сокольническая линия,не является объектом культурного наследия,"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:25, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:32:25, по 2 пути в 01:14:30","открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:25, по 2 пути в 05:46:40; последний поезд по 1 пути в 01:32:25, по 2 пути в 01:14:30",,6,6,[],действует,1032937413,"{'coordinates': [37.5655148, 55.7239984], 'type': 'Point'}",37.5655148,55.7239984
928,"Кропоткинская, выход из южного вестибюля",да,Центральный административный округ,район Хамовники,37.6016736,55.7450636,наземный отдельностоящий,Кропоткинская,Сокольническая линия,объект культурного наследия регионального значения,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:35, по 2 пути в 05:53:00; последний поезд по 1 пути в 01:26:40, по 2 пути в 01:20:15","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:35, по 2 пути в 05:53:00; последний поезд по 1 пути в 01:26:40, по 2 пути в 01:20:15",,4,4,[],действует,1032937415,"{'coordinates': [37.6016736, 55.7450636], 'type': 'Point'}",37.6016736,55.7450636
929,"Комсомольская, вход 1 Сокольнической линии с Ярославского вокзала",да,Центральный административный округ,Красносельский район,37.6568976,55.7774812,подземный,Комсомольская,Сокольническая линия,объект культурного наследия регионального значения,"открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:20, по 2 пути в 05:56:35; последний поезд по 1 пути в 01:16:05, по 2 пути в 01:31:00","открытие в 05:20:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:20, по 2 пути в 05:56:35; последний поезд по 1 пути в 01:16:05, по 2 пути в 01:31:00",,8,8,[],действует,1032937417,"{'coordinates': [37.6568976, 55.7774812], 'type': 'Point'}",37.6568976,55.7774812
930,"Октябрьская, выход 2 из вестибюля Кольцевой линии",да,Центральный административный округ,район Якиманка,37.6109171,55.7294594,"наземный, встроенный в здание",Октябрьская,Кольцевая линия,выявленный объект культурного наследия,"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:15, по 2 пути в 05:41:50; последний поезд по 1 пути в 01:39:25, по 2 пути в 01:20:30","открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:15, по 2 пути в 05:49:40; последний поезд по 1 пути в 01:37:25, по 2 пути в 01:27:00",,2,2,[{'RepairOfEscalators': '29.08.2022-21.10.2022'}],действует,1032937419,"{'coordinates': [37.6109171, 55.7294594], 'type': 'Point'}",37.6109171,55.7294594
931,"Юго-Восточная, вход-выход 1 в вестибюль",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.81790720,55.7051263,подземный,Юго-Восточная,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00",4,,4,[{'RepairOfEscalators': '24.06.2022-28.06.2022'}],действует,1032991449,"{'coordinates': [37.8179072, 55.7051263], 'type': 'Point'}",37.8179072,55.7051263
932,"Юго-Восточная, вход-выход 2 в вестибюль",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.81782137,55.7057866,подземный,Юго-Восточная,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00",4,,4,[{'RepairOfEscalators': '24.06.2022-28.06.2022'}],действует,1032991450,"{'coordinates': [37.81782137, 55.7057866], 'type': 'Point'}",37.81782137,55.7057866
933,"Юго-Восточная, вход-выход 3 в вестибюль",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.81648563,55.7056321,подземный,Юго-Восточная,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00",4,,4,[{'RepairOfEscalators': '24.06.2022-28.06.2022'}],действует,1032991451,"{'coordinates': [37.81648563, 55.7056321], 'type': 'Point'}",37.81648563,55.7056321
934,"Юго-Восточная, вход-выход 4 в вестибюль",да,Юго-Восточный административный округ,район Выхино-Жулебино,37.81682895,55.7058745,подземный,Юго-Восточная,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00",4,,4,[{'RepairOfEscalators': '24.06.2022-28.06.2022'}],действует,1032991456,"{'coordinates': [37.81682895, 55.7058745], 'type': 'Point'}",37.81682895,55.7058745
