ID точки,Город,Область,Тип Пункта,Название пункта приема/выдачи,Адрес пункта приема/выдачи,Метро,"Макс. габариты 1 места, см","Макс. размер коробки, см","Макс. вес 1 места, кг",Способы оплаты,Время работы,График обслуживания,Услуга по приему возвратов,Широта,Долгота,Временное закрытие точки,x,y
5005-674,Дмитров,Московская обл.,Постамат,Постамат: Халва: 5005-674: Магнит,"141802, Большевистская ул., д. 20",,45.7x42.7x32.1,L,30 кг,Карта,Ежедневно: 8-22,"Вт, Чт, Сб",Нет,56.342102,37.540197,Нет,4178955.6143191764,7626822.114132025
5005-675,Дедовск,Московская обл.,Постамат,Постамат: Халва: 5005-675: Магнит,"143530, Красный Октябрь ул., д. 6",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8:30-23,"Пн, Ср, Пт",Нет,55.85417,37.120209,Нет,4132202.764019891,7529439.631748014
5005-676,Яхрома,Московская обл.,Постамат,Постамат: Халва: 5005-676: Магнит,"141840, Левобережье мкр., д. 15",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8:30-23,"Пн, Ср, Пт",Нет,56.283907,37.489252,Нет,4173284.442860713,7615142.362783099
5005-668,Ногинск,Московская обл.,Постамат,Постамат: Халва: 5005-668: Магнит,"142412, Климова ул., д. 30",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8-22:30,"Вт, Чт, Сб",Нет,55.861974,38.453769,Нет,4280653.9841621695,7530987.50765516
7701-082,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-082: ТЦ Галла,"107113, Маленковская ул., д. 30",метро Сокольники,63.6x61.8x55.5,XXL,15 кг,Карта,Пн-Пт: 9-21; Сб-Вс: 9-20,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.787111,37.674926,Нет,4193953.577994263,7516151.682043542
5001-042,Воскресенск,Московская обл.,Постамат,Постамат: PickPoint: 5001-042: Магнит,"140207, Зелинского ул., д. 7А",,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 10-22,"Пн, Ср, Пт",Да,55.312836,38.656814,Нет,4303256.850170288,7422819.463687816
7701-084,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-084: ТЦ Москва-Сокол,"125315, Ленинградский пр-кт, д. 80, к. 17",метро Сокол,57x56x62,XXL,15 кг,Карта,Ежедневно: 9-23,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.808131,37.510698,Нет,4175671.800660265,7520314.396876662
7701-083,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-083: ТЦ Сомбреро,"117405, Варшавское шоссе, д. 152А",метро Улица Академика Янгеля,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.594561,37.59913,Нет,4185516.0058700964,7478123.986321958
5001-737,Химки,Московская обл.,Постамат,Постамат: PickPoint: 5001-737: Салон красоты,"141501, Молодежная ул., д. 50",,40.5x35.8x64,,15 кг,Карта,Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.898894,37.40101,Нет,4163461.388354133,7538314.583268363
7701-743,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-743: Торговый Центр,"127562, Алтуфьевское шоссе, д. 18А",метро Владыкино,40.5x35.8x64,,15 кг,Карта,Ежедневно: 9-23,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.858129,37.585583,Нет,4184007.9607283194,7530224.836450057
