ShortName,FullName,CommonName,global_id,geoData,lon,lat,x,y
Бассейн плавательный «Медынский»,Бассейн плавательный «Медынский»,Бассейн плавательный «Медынский»,1074989270,"{'coordinates': [[37.6505180561899, 55.5817134417441]], 'type': 'MultiPoint'}",37.6505180561899,55.5817134417441,4191236.498118012,7475593.30514737
Физкультурно-оздоровительный комплекс с бассейном «Орехово-Борисово»,Физкультурно-оздоровительный комплекс с бассейном «Орехово-Борисово»,Физкультурно-оздоровительный комплекс с бассейном «Орехово-Борисово»,1074989271,"{'coordinates': [[37.7302032205543, 55.6147905225956]], 'type': 'MultiPoint'}",37.7302032205543,55.6147905225956,4200107.010038835,7482110.429138055
Спортивный комплекс среднего профессионального образовательного учреждения «Училище олимпийского резерва № 4 им. А.Я. Гомельского»,Спортивный комплекс среднего профессионального образовательного учреждения «Училище олимпийского резерва № 4 им. А.Я. Гомельского»,Спортивный комплекс среднего профессионального образовательного учреждения «Училище олимпийского резерва № 4 им. А.Я. Гомельского»,1074989274,"{'coordinates': [[37.6220427511702, 55.8931917543518]], 'type': 'MultiPoint'}",37.6220427511702,55.8931917543518,4188066.641663036,7537182.470900717
Физкультурно-оздоровительный комплекс «Братеево»,Физкультурно-оздоровительный комплекс «Братеево»,Физкультурно-оздоровительный комплекс «Братеево»,1074989275,"{'coordinates': [[37.7546062555121, 55.63732291086]], 'type': 'MultiPoint'}",37.7546062555121,55.63732291086,4202823.5434641475,7486553.098162686
Физкультурно-оздоровительный комплекс с бассейном «Солнечный»,Физкультурно-оздоровительный комплекс с бассейном «Солнечный»,Физкультурно-оздоровительный комплекс с бассейном «Солнечный»,1074989276,"{'coordinates': [[37.492871147299, 55.6186843369616]], 'type': 'MultiPoint'}",37.492871147299,55.6186843369616,4173687.3244951433,7482877.982740192
Бассейн плавательный «Училище олимпийского резерва № 2»,Бассейн плавательный «Училище олимпийского резерва № 2»,Бассейн плавательный «Училище олимпийского резерва № 2»,1074989278,"{'coordinates': [[37.4576975500867, 55.7351731963372]], 'type': 'MultiPoint'}",37.4576975500867,55.7351731963372,4169771.817564102,7505875.754228631
"СШОР «ГБПОУ «МССУОР № 1» Москомспорта, ул. Парковая 16-я, дом 11» (102293)","Спортивная школа олимпийского резерва «ГБПОУ «МССУОР № 1» Москомспорта, ул. Парковая 16-я, дом 11 (102293)","СШОР «ГБПОУ «МССУОР № 1» Москомспорта, ул. Парковая 16-я, дом 11» (102293)",1074989279,"{'coordinates': [[37.8221850412345, 55.7948135800111]], 'type': 'MultiPoint'}",37.8221850412345,55.7948135800111,4210346.379479193,7517676.808673587
"Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117556, Варшавское шоссе, дом 71)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117556, Варшавское шоссе, дом 71)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117556, Варшавское шоссе, дом 71)",1074989283,"{'coordinates': [[37.6209473387815, 55.6610042305905]], 'type': 'MultiPoint'}",37.6209473387815,55.6610042305905,4187944.700913717,7491225.054688687
Физкультурно-оздоровительный комплекс с бассейном «Радужный»,Физкультурно-оздоровительный комплекс с бассейном «Радужный»,Физкультурно-оздоровительный комплекс с бассейном «Радужный»,1074989284,"{'coordinates': [[37.3534384536634, 55.6453603063159]], 'type': 'MultiPoint'}",37.3534384536634,55.6453603063159,4158165.748039694,7488138.434729767
Физкультурно-оздоровительный комплекс «Дмитровский» (107185),Физкультурно-оздоровительный комплекс «Дмитровский» (107185),Физкультурно-оздоровительный комплекс «Дмитровский» (107185),1074989285,"{'coordinates': [[37.5366055757521, 55.8987406025849]], 'type': 'MultiPoint'}",37.5366055757521,55.8987406025849,4178555.818800677,7538284.125876523
Спортивный комплекс «Лазурный» (108256),Спортивный комплекс «Лазурный» (108256),Спортивный комплекс «Лазурный» (108256),1074989286,"{'coordinates': [[37.4127947629998, 55.8622576623675]], 'type': 'MultiPoint'}",37.4127947629998,55.8622576623675,4164773.2621703898,7531043.776215774
"Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105484, 16-я Парковая улица, дом 17, строение 4А)","Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105484, 16-я Парковая улица, дом 17, строение 4А)","Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105484, 16-я Парковая улица, дом 17, строение 4А)",1074989290,"{'coordinates': [[37.8221675349146, 55.7986744087369]], 'type': 'MultiPoint'}",37.8221675349146,55.7986744087369,4210344.430684576,7518441.37416377
Стадион «Тушино» (121871),Стадион «Тушино» (121871),Стадион «Тушино» (121871),1074989291,"{'coordinates': [[37.4641743235654, 55.8403301752079]], 'type': 'MultiPoint'}",37.4641743235654,55.8403301752079,4170492.8086897354,7526695.351023365
Физкультурно-оздоровительный комплекс «Спортвариант» (108176),Физкультурно-оздоровительный комплекс «Спортвариант» (108176),Физкультурно-оздоровительный комплекс «Спортвариант» (108176),1074989292,"{'coordinates': [[37.5694572638676, 55.566238837951]], 'type': 'MultiPoint'}",37.5694572638676,55.566238837951,4182212.851993394,7472546.254131579
Бассейн плавательный «Дельфин»,Бассейн плавательный «Дельфин»,Бассейн плавательный «Дельфин»,1074989294,"{'coordinates': [[37.9236425953908, 55.6855111380276]], 'type': 'MultiPoint'}",37.9236425953908,55.6855111380276,4221640.5827450035,7496062.863932733
Физкультурно-оздоровительный комплекс с бассейном «Молния»,Физкультурно-оздоровительный комплекс с бассейном «Молния»,Физкультурно-оздоровительный комплекс с бассейном «Молния»,1074989298,"{'coordinates': [[37.5350726206055, 55.8872789116005]], 'type': 'MultiPoint'}",37.5350726206055,55.8872789116005,4178385.171014348,7536008.722696904
Крытое сооружение с искусственным льдом «Ледовый дворец «Мечта»,Крытое сооружение с искусственным льдом «Ледовый дворец «Мечта»,Крытое сооружение с искусственным льдом «Ледовый дворец «Мечта»,1074989299,"{'coordinates': [[37.6149657493202, 55.8910716841966]], 'type': 'MultiPoint'}",37.6149657493202,55.8910716841966,4187278.8334207507,7536761.59886883
"Спортивный комплекс с бассейном «Умка», ул. Левобережная, дом 14, строение 1","Спортивный комплекс с бассейном «Умка», ул. Левобережная, дом 14, строение 1","Спортивный комплекс с бассейном «Умка», ул. Левобережная, дом 14, строение 1",1074989302,"{'coordinates': [[37.4697530886116, 55.8785723274826]], 'type': 'MultiPoint'}",37.4697530886116,55.8785723274826,4171113.8339739325,7534280.719192948
Комплекс спортивных сооружений «Спортивная школа олимпийского резерва № 41 «Москворечье»,Комплекс спортивных сооружений «Спортивная школа олимпийского резерва № 41 «Москворечье»,Комплекс спортивных сооружений «Спортивная школа олимпийского резерва № 41 «Москворечье»,1074989303,"{'coordinates': [[37.6187663271696, 55.7140149732664]], 'type': 'MultiPoint'}",37.6187663271696,55.7140149732664,4187701.911811666,7501693.50579545
Физкультурно-оздоровительный комплекс с фехтовальным залом «ГБПОУ «МССУОР № 3» Москомспорта»,Физкультурно-оздоровительный комплекс с фехтовальным залом «ГБПОУ «МССУОР № 3» Москомспорта»,Физкультурно-оздоровительный комплекс с фехтовальным залом «ГБПОУ «МССУОР № 3» Москомспорта»,1074989305,"{'coordinates': [[37.7316865925741, 55.7872021098381]], 'type': 'MultiPoint'}",37.7316865925741,55.7872021098381,4200272.138256736,7516169.7202157825
"Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117535, Россошанский проезд, дом 4, корпус 4)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117535, Россошанский проезд, дом 4, корпус 4)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (117535, Россошанский проезд, дом 4, корпус 4)",1074989311,"{'coordinates': [[37.606491585859, 55.599140571762]], 'type': 'MultiPoint'}",37.606491585859,55.599140571762,4186335.4938593507,7479026.259685519
Физкультурно-оздоровительный комплекс «ГБУ «СШ № 93 «На Можайке» Москомспорта,Физкультурно-оздоровительный комплекс «ГБУ «СШ № 93 «На Можайке» Москомспорта,Физкультурно-оздоровительный комплекс «ГБУ «СШ № 93 «На Можайке» Москомспорта,1074989312,"{'coordinates': [[37.4123592786321, 55.7554264701343]], 'type': 'MultiPoint'}",37.4123592786321,55.7554264701343,4164724.7842723294,7509881.249704141
Стадион «Молния»,Стадион «Молния»,Стадион «Молния»,1074989315,"{'coordinates': [[37.5337045303376, 55.8883417448098]], 'type': 'MultiPoint'}",37.5337045303376,55.8883417448098,4178232.8759023673,7536219.690698254
Физкультурно-оздоровительный комплекс с бассейном «Братеево»,Физкультурно-оздоровительный комплекс с бассейном «Братеево»,Физкультурно-оздоровительный комплекс с бассейном «Братеево»,1074989316,"{'coordinates': [[37.7539322808997, 55.6362216930459]], 'type': 'MultiPoint'}",37.7539322808997,55.6362216930459,4202748.516953488,7486335.913721531
Стадион «Арена Чертаново» (121423),Стадион «Арена Чертаново» (121423),Стадион «Арена Чертаново» (121423),1074989318,"{'coordinates': [[37.5936256724852, 55.6283056066192]], 'type': 'MultiPoint'}",37.5936256724852,55.6283056066192,4184903.2669339892,7484774.866522138
Спортивный комплекс «Аквамарин» (105936),Спортивный комплекс «Аквамарин» (105936),Спортивный комплекс «Аквамарин» (105936),1074989319,"{'coordinates': [[37.3664600455562, 55.8314994405156]], 'type': 'MultiPoint'}",37.3664600455562,55.8314994405156,4159615.3050185186,7524944.826690474
Спортивный зал «Училище олимпийского резерва № 2»,Спортивный зал «Училище олимпийского резерва № 2»,Спортивный зал «Училище олимпийского резерва № 2»,1074989325,"{'coordinates': [[37.4564982412538, 55.7358521897892]], 'type': 'MultiPoint'}",37.4564982412538,55.7358521897892,4169638.31111552,7506010.005271922
Комплекс спортивных сооружений «Смена»,Комплекс спортивных сооружений «Смена»,Комплекс спортивных сооружений «Смена»,1074989327,"{'coordinates': [[37.795138662672, 55.6400827167628]], 'type': 'MultiPoint'}",37.795138662672,55.6400827167628,4207335.590389814,7487097.4195791
"Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125493, Кронштадтский бульвар, дом 20А, корпус 7А)","Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125493, Кронштадтский бульвар, дом 20А, корпус 7А)","Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125493, Кронштадтский бульвар, дом 20А, корпус 7А)",1074989329,"{'coordinates': [[37.5075614979311, 55.8444927439411]], 'type': 'MultiPoint'}",37.5075614979311,55.8444927439411,4175322.6468470837,7527520.638580734
Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 42» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 42» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 42» Москомспорта»,1074989330,"{'coordinates': [[37.5900069072063, 55.5999558409639]], 'type': 'MultiPoint'}",37.5900069072063,55.5999558409639,4184500.427825842,7479186.8961593835
Физкультурно-оздоровительный комплекс с бассейном «Дегунино» (107186),Физкультурно-оздоровительный комплекс с бассейном «Дегунино» (107186),Физкультурно-оздоровительный комплекс с бассейном «Дегунино» (107186),1074989331,"{'coordinates': [[37.5653200856193, 55.885527760449]], 'type': 'MultiPoint'}",37.5653200856193,55.885527760449,4181752.3034174726,7535661.139028493
Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 1» Москомспорта,Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 1» Москомспорта,Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 1» Москомспорта,1074989335,"{'coordinates': [[37.8227815267511, 55.7950913185748]], 'type': 'MultiPoint'}",37.8227815267511,55.7950913185748,4210412.779943166,7517731.807112398
Крытое сооружение с искусственным льдом «ГБУ «СШОР № 70 «Молния» Москомспорта»,Крытое сооружение с искусственным льдом «ГБУ «СШОР № 70 «Молния» Москомспорта»,Крытое сооружение с искусственным льдом «ГБУ «СШОР № 70 «Молния» Москомспорта»,1074989336,"{'coordinates': [[37.5341655946775, 55.88691917243]], 'type': 'MultiPoint'}",37.5341655946775,55.88691917243,4178284.201349908,7535937.317266365
Физкультурно-оздоровительный комплекс с бассейном ГБУ «СШ № 76» Москомспорта,Физкультурно-оздоровительный комплекс с бассейном «Государственное бюджетное учреждение «Спортивная школа № 76» Департамента спорта города Москвы»,Физкультурно-оздоровительный комплекс с бассейном ГБУ «СШ № 76» Москомспорта,1074989338,"{'coordinates': [[37.5638440958011, 55.8623207692593]], 'type': 'MultiPoint'}",37.5638440958011,55.8623207692593,4181587.9969824944,7531056.294442446
Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (108245),Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (108245),Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (108245),1074989339,"{'coordinates': [[37.600776906757, 55.5794074357549]], 'type': 'MultiPoint'}",37.600776906757,55.5794074357549,4185699.338691669,7475139.1612963425
Спортивный комплекс «Щемиловский» (105926),Спортивный комплекс «Щемиловский» (105926),Спортивный комплекс «Щемиловский» (105926),1074989340,"{'coordinates': [[37.6095739461685, 55.778973212104]], 'type': 'MultiPoint'}",37.6095739461685,55.778973212104,4186678.620639446,7514540.710911092
Физкультурно-оздоровительный комплекс «Борец»,Физкультурно-оздоровительный комплекс «Борец»,Физкультурно-оздоровительный комплекс «Борец»,1074989341,"{'coordinates': [[37.3980349009423, 55.6539750142708]], 'type': 'MultiPoint'}",37.3980349009423,55.6539750142708,4163130.2018419695,7489838.004614561
Спортивный зал «ГБПОУ «КФКС «Спарта» Москомспорта»,Спортивный зал «ГБПОУ «КФКС «Спарта» Москомспорта»,Спортивный зал «ГБПОУ «КФКС «Спарта» Москомспорта»,1074989346,"{'coordinates': [[37.4575230784719, 55.7131899478766]], 'type': 'MultiPoint'}",37.4575230784719,55.7131899478766,4169752.3954727855,7501530.472722815
Физкультурно-оздоровительный комплекс с бассейном «ГБУ «СШОР № 82» Москомспорта»(108199),Физкультурно-оздоровительный комплекс с бассейном «ГБУ «СШОР № 82» Москомспорта»(108199),Физкультурно-оздоровительный комплекс с бассейном «ГБУ «СШОР № 82» Москомспорта»(108199),1074989347,"{'coordinates': [[37.5782526167352, 55.8792782376394]], 'type': 'MultiPoint'}",37.5782526167352,55.8792782376394,4183191.9461959624,7534420.807373128
Комплекс спортивных сооружений «Автомобилист»,Комплекс спортивных сооружений «Автомобилист»,Комплекс спортивных сооружений «Автомобилист»,1074989348,"{'coordinates': [[37.5767431129235, 55.8002309769361]], 'type': 'MultiPoint'}",37.5767431129235,55.8002309769361,4183023.909000294,7518749.6450550305
"Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (115162, Люсиновская улица, дом 62, корпус 1)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (115162, Люсиновская улица, дом 62, корпус 1)","Спортивный зал «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта» (115162, Люсиновская улица, дом 62, корпус 1)",1074989353,"{'coordinates': [[37.6210778913964, 55.717788913546]], 'type': 'MultiPoint'}",37.6210778913964,55.717788913546,4187959.23396433,7502439.317146157
Спортивный зал «50 лет Октября» (100861),Спортивный зал «50 лет Октября» (100861),Спортивный зал «50 лет Октября» (100861),1074989354,"{'coordinates': [[37.4146250604978, 55.6481145237427]], 'type': 'MultiPoint'}",37.4146250604978,55.6481145237427,4164977.0099558677,7488681.765362597
Комплекс спортивных сооружений «Футбольная школа «Чертаново»,Комплекс спортивных сооружений «Футбольная школа «Чертаново»,Комплекс спортивных сооружений «Футбольная школа «Чертаново»,1074989355,"{'coordinates': [[37.6043237603047, 55.6296656082257]], 'type': 'MultiPoint'}",37.6043237603047,55.6296656082257,4186094.172622518,7485043.035537252
"Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125008, бульвар Матроса Железняка, дом 22, строение 1)","Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125008, бульвар Матроса Железняка, дом 22, строение 1)","Физкультурно-оздоровительный комплекс «ГБУ «СШОР № 74» Москомспорта (125008, бульвар Матроса Железняка, дом 22, строение 1)",1074989357,"{'coordinates': [[37.5292548671, 55.8328403437798]], 'type': 'MultiPoint'}",37.5292548671,55.8328403437798,4177737.5416565556,7525210.609530924
Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 3» Москомспорта,Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 3» Москомспорта,Физкультурно-оздоровительный комплекс «ГБПОУ «МССУОР № 3» Москомспорта,1074989358,"{'coordinates': [[37.7314661327612, 55.785935050916]], 'type': 'MultiPoint'}",37.7314661327612,55.785935050916,4200247.596782624,7515918.86824844
Стадион «ГБУ «СШ № 4» Москомспорта»,Стадион «ГБУ «СШ № 4» Москомспорта»,Стадион «ГБУ «СШ № 4» Москомспорта»,1074989363,"{'coordinates': [[37.9236425953908, 55.6855111380276]], 'type': 'MultiPoint'}",37.9236425953908,55.6855111380276,4221640.5827450035,7496062.863932733
Спортивный зал «ГБУ «СШ № 57 «Крылья Советов» Москомспорта»,Спортивный зал «ГБУ «СШ № 57 «Крылья Советов» Москомспорта»,Спортивный зал «ГБУ «СШ № 57 «Крылья Советов» Москомспорта»,1074989364,"{'coordinates': [[37.7619331044486, 55.7593728456914]], 'type': 'MultiPoint'}",37.7619331044486,55.7593728456914,4203639.164556879,7510661.967575947
Физкультурно-оздоровительный комплекс с бассейном «Спортивная школа олимпийского резерва № 41»,Физкультурно-оздоровительный комплекс с бассейном «Спортивная школа олимпийского резерва № 41»,Физкультурно-оздоровительный комплекс с бассейном «Спортивная школа олимпийского резерва № 41»,1074989365,"{'coordinates': [[37.6187340093356, 55.7143378171587]], 'type': 'MultiPoint'}",37.6187340093356,55.7143378171587,4187698.3142068414,7501757.303838159
Пункт выдачи спортивного инвентаря «ГБУ «ЦФКиС ЮАО г. Москвы» Москомспорта» (108714),Пункт выдачи спортивного инвентаря «ГБУ «ЦФКиС ЮАО г. Москвы» Москомспорта» (108714),Пункт выдачи спортивного инвентаря «ГБУ «ЦФКиС ЮАО г. Москвы» Москомспорта» (108714),1074989366,"{'coordinates': [[37.6527027487774, 55.6654364120253]], 'type': 'MultiPoint'}",37.6527027487774,55.6654364120253,4191479.696984392,7492099.769224768
Физкультурно-оздоровительный комплекс «Дорожная 44» (108253),Физкультурно-оздоровительный комплекс «Дорожная 44» (108253),Физкультурно-оздоровительный комплекс «Дорожная 44» (108253),1074989367,"{'coordinates': [[37.61287265322, 55.5878405432685]], 'type': 'MultiPoint'}",37.61287265322,55.5878405432685,4187045.831028695,7476800.103565894
Бассейн «Арбат» (105942),Бассейн «Арбат» (105942),Бассейн «Арбат» (105942),1074989368,"{'coordinates': [[37.5867805650569, 55.7512348646479]], 'type': 'MultiPoint'}",37.5867805650569,55.7512348646479,4184141.2730606454,7509052.104102069
Физкультурно-оздоровительный комплекс с бассейном «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,Физкультурно-оздоровительный комплекс с бассейном «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,Физкультурно-оздоровительный комплекс с бассейном «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,1074989371,"{'coordinates': [[37.6732906052088, 55.6285118462447]], 'type': 'MultiPoint'}",37.6732906052088,55.6285118462447,4193771.5266788607,7484815.532844029
Физкультурно-оздоровительный комплекс «ГБУ «СШ № 4» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШ № 4» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШ № 4» Москомспорта»,1074989372,"{'coordinates': [[37.9257057319141, 55.6803676825417]], 'type': 'MultiPoint'}",37.9257057319141,55.6803676825417,4221870.250052215,7495047.263937178
"Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105203, 16-я Парковая улица, дом 17, строение 12)","Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105203, 16-я Парковая улица, дом 17, строение 12)","Спортивный зал «ГБПОУ «МССУОР № 1» Москомспорта» (105203, 16-я Парковая улица, дом 17, строение 12)",1074989373,"{'coordinates': [[37.8211488176211, 55.7985851376541]], 'type': 'MultiPoint'}",37.8211488176211,55.7985851376541,4210231.027594201,7518423.694826178
Физкультурно-оздоровительный комплекс с бассейном «Спортивно-адаптивная школа»,Физкультурно-оздоровительный комплекс с бассейном «Спортивно-адаптивная школа»,Физкультурно-оздоровительный комплекс с бассейном «Спортивно-адаптивная школа»,1074989374,"{'coordinates': [[37.6180006513973, 55.8987836224173]], 'type': 'MultiPoint'}",37.6180006513973,55.8987836224173,4187616.677174581,7538292.667546064
Спортивный комплекс «Динамика» (108242),Спортивный комплекс «Динамика» (108242),Спортивный комплекс «Динамика» (108242),1074989375,"{'coordinates': [[37.480036373135, 55.8053648487259]], 'type': 'MultiPoint'}",37.480036373135,55.8053648487259,4172258.5639707604,7519766.4711806495
Ледовый центр «Звезда» (108250),Ледовый центр «Звезда» (108250),Ледовый центр «Звезда» (108250),1074989376,"{'coordinates': [[37.464126838859, 55.8424449074167]], 'type': 'MultiPoint'}",37.464126838859,55.8424449074167,4170487.522716398,7527114.61526243
Комплекс спортивных сооружений «Училище олимпийского резерва № 2»,Комплекс спортивных сооружений «Училище олимпийского резерва № 2»,Комплекс спортивных сооружений «Училище олимпийского резерва № 2»,1074989377,"{'coordinates': [[37.4570302969344, 55.7343901562173]], 'type': 'MultiPoint'}",37.4570302969344,55.7343901562173,4169697.539282958,7505720.933907512
Физкультурно-оздоровительный комплекс «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,Физкультурно-оздоровительный комплекс «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,Физкультурно-оздоровительный комплекс «Спортивное сооружение ГБУ «СШОР № 42» Москомспорта,1074989379,"{'coordinates': [[37.6061348027168, 55.5986496172597]], 'type': 'MultiPoint'}",37.6061348027168,55.5986496172597,4186295.7769416375,7478929.52613173
"Спортивный комплекс «Умка», ул. Левобережная, дом 12, корпус 1","Спортивный комплекс «Умка», ул. Левобережная, дом 12, корпус 1","Спортивный комплекс «Умка», ул. Левобережная, дом 12, корпус 1",1074989380,"{'coordinates': [[37.4713089942207, 55.8784442273622]], 'type': 'MultiPoint'}",37.4713089942207,55.8784442273622,4171287.0365940602,7534255.297940935
Спортивный комплекс «Акватория Тушино» (105928),Спортивный комплекс «Акватория Тушино» (105928),Спортивный комплекс «Акватория Тушино» (105928),1074989381,"{'coordinates': [[37.427189777779, 55.8653828761019]], 'type': 'MultiPoint'}",37.427189777779,55.8653828761019,4166375.7078855718,7531663.735063429
ФОК «Спортивная школа олимпийского резерва № 70 Молния»,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 70 Молния»,ФОК «Спортивная школа олимпийского резерва № 70 Молния»,1074989382,"{'coordinates': [[37.5405332930053, 55.8852557972802]], 'type': 'MultiPoint'}",37.5405332930053,55.8852557972802,4178993.050285284,7535607.158826883
Физкультурно-оздоровительный комплекс «ГБУ «СШОР «Энтузиаст» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШОР «Энтузиаст» Москомспорта»,Физкультурно-оздоровительный комплекс «ГБУ «СШОР «Энтузиаст» Москомспорта»,1074997673,"{'coordinates': [[37.7775966036332, 55.726090015268]], 'type': 'MultiPoint'}",37.7775966036332,55.726090015268,4205382.817310149,7504080.046081416
