Name,AdmArea,District,Address,FacilityArea,ObjectType,Specialization,PeriodOfPlacement,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ObjectPhoto,StartDateTrading,EndDateTrading,geoData,global_id,longitude,latitude,x,y
"Мороженое на ул. Беловежская, 17",Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 17",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004597,МОСХЛАДТОРГ,04.12.2017,04.12.2022,,25.05.2018,25.05.2023,"{'coordinates': [37.3962509999999, 55.71426], 'type': 'Point'}",171717938,37.3962509999999,55.71426,4162931.618897436,7501741.926133632
"Мороженое на Солнцевский пр-т, вл. 15",Западный административный округ,район Солнцево,"город Москва, Солнцевский проспект, дом 15",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008090,Молочные Берега,13.09.2021,13.09.2026,,27.10.2021,27.10.2026,"{'coordinates': [37.407984, 55.648431], 'type': 'Point'}",171717960,37.407984,55.648431,4164237.730482925,7488744.199789513
"Мороженое, пр-т Вернадского, вл.101/2",Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 101, корпус 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004958,СНЕЖНАЯ КРЕПОСТЬ,09.01.2018,09.01.2023,,23.05.2018,23.05.2023,"{'coordinates': [37.4874849999999, 55.664183], 'type': 'Point'}",171717986,37.4874849999999,55.664183,4173087.74132047,7491852.391661738
"Мороженое на Ул.Мосфильмовская, д.2",Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 2В",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008060,Молочные Берега,06.09.2021,06.09.2026,,23.09.2021,23.09.2026,"{'coordinates': [37.53261, 55.725534], 'type': 'Point'}",171718014,37.53261,55.725534,4178111.033342527,7503970.137681388
"Мороженое на Мичуринский пр-т, д.54",Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 54, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007901,АЙС-КРИМ РИТЕЙЛ,21.06.2021,21.06.2026,,23.09.2021,23.09.2026,"{'coordinates': [37.4910149999999, 55.693812], 'type': 'Point'}",171718015,37.4910149999999,55.693812,4173480.69912297,7497702.190791613
"Ремонт обуви на Карманицкий пер., вл. 1",Центральный административный округ,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Карманицкий переулок, дом 3",6.0,киоск,бытовые услуги,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-000655,ЧАГРИНА ВЕРОНИКА ВАГАНОВНА,18.02.2016,31.12.2023,,25.04.2016,31.12.2023,"{'coordinates': [37.584044, 55.749682], 'type': 'Point'}",171718053,37.584044,55.749682,4183836.6400319887,7508744.9530364
"Мороженое на Комсомольский просп., вл. 29",Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 29",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004965,МОСХЛАДТОРГ,15.01.2018,15.01.2023,,23.03.2018,23.03.2023,"{'coordinates': [37.5798709999999, 55.724766], 'type': 'Point'}",171718096,37.5798709999999,55.724766,4183372.1037968975,7503818.328504536
Мороженое на пл. ст. м. Краснопресненская,Центральный административный округ,Пресненский район,"город Москва, улица Красная Пресня, дом 1, строение 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007286,АЙС-КРИМ РИТЕЙЛ,24.11.2020,24.11.2025,,26.05.2021,26.05.2026,"{'coordinates': [37.579316, 55.761712], 'type': 'Point'}",171718111,37.579316,55.761712,4183310.3214795184,7511124.763557306
"Мороженое на Ул. Красная Пресня, д.8",Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 8",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004960,СНЕЖНАЯ КРЕПОСТЬ,09.01.2018,09.01.2023,,01.08.2018,01.08.2023,"{'coordinates': [37.573895, 55.7613529999999], 'type': 'Point'}",171718119,37.573895,55.7613529999999,4182706.858519928,7511053.734478512
Мороженое на Киевская.вл.18,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, Киевская улица, дом 18",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004524,МОСХЛАДТОРГ,30.10.2017,31.12.2023,,27.11.2017,31.12.2023,"{'coordinates': [37.545796, 55.738462], 'type': 'Point'}",171718173,37.545796,55.738462,4179578.892148128,7506526.04044754
"Мороженое на ул. Богданова, вл 2",Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Богданова, дом 2, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008093,АЙС-КРИМ РИТЕЙЛ,13.09.2021,13.09.2026,,14.10.2021,14.10.2026,"{'coordinates': [37.410236999, 55.6592569999999], 'type': 'Point'}",171718195,37.410236999,55.6592569999999,4164488.5331843626,7490880.25667506
"Бытовые услуги на Большой Сухаревский переулок, дом 23, строение 1",Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Большой Сухаревский переулок, дом 23, строение 1",6.0,киоск,бытовые услуги,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-001075,СТАРЛАЙТ,18.02.2016,31.12.2023,,22.04.2016,31.12.2023,"{'coordinates': [37.631980999, 55.7710009999999], 'type': 'Point'}",171718261,37.631980999,55.7710009999999,4189172.962350826,7512962.843645018
"Мороженое на ул. Кременчугская, вл.4",Западный административный округ,район Фили-Давыдково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 4, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008089,Молочные Берега,13.09.2021,13.09.2026,,27.10.2021,27.10.2026,"{'coordinates': [37.4600829999999, 55.7251049999999], 'type': 'Point'}",171718341,37.4600829999999,55.7251049999999,4170037.364633753,7503885.337655883
"Мороженное на ул.Маршала Полубоярова, вл.22",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, улица Маршала Полубоярова, дом 22",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-005915,Роза,10.12.2018,10.12.2023,,28.12.2018,28.12.2023,"{'coordinates': [37.861483, 55.682377], 'type': 'Point'}",171718396,37.861483,55.682377,4214721.008238183,7495443.997425303
"Мороженое на Б. Серпуховская ул., вл. 25",Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Серпуховская улица, дом 25, строение 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002928,СТРИТ РИТЕЙЛ,20.11.2016,31.12.2023,,24.11.2016,31.12.2023,"{'coordinates': [37.626263, 55.7254989999999], 'type': 'Point'}",171718416,37.626263,55.7254989999999,4188536.43761379,7503963.219229464
"Мороженое на ул. Толбухина, д.9",Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Толбухина, дом 9, корпус 1",8.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004979,ТОРГОВЫЙ РЯД,15.01.2018,15.01.2023,,15.01.2018,15.01.2023,"{'coordinates': [37.4009719491005, 55.7214334161181], 'type': 'Point'}",171718446,37.4009719491005,55.7214334161181,4163457.1525473767,7503159.617236812
"Мороженое на ул.Вяземская, 4",Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Вяземская улица, дом 4",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-000582,ТОРГОВЫЙ РЯД,29.01.2016,31.12.2023,,29.01.2016,31.12.2023,"{'coordinates': [37.4028977751732, 55.7144837358087], 'type': 'Point'}",171718447,37.4028977751732,55.7144837358087,4163671.534525146,7501786.139384819
"Мороженое на ул.Красных зорь, 21",Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Красных Зорь, дом 21",8.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004732,Айс Маркет,18.12.2017,18.12.2022,,30.04.2018,30.04.2023,"{'coordinates': [37.4348857998848, 55.725566378651], 'type': 'Point'}",171718448,37.4348857998848,55.725566378651,4167232.425147524,7503976.537976612
"Мороженое на ул. Скульптора Мухиной, 5",Западный административный округ,район Ново-Переделкино,"город Москва, улица Скульптора Мухиной, дом 5",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007538,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,19.05.2021,19.05.2026,"{'coordinates': [37.3451739549637, 55.6409136448806], 'type': 'Point'}",171718450,37.3451739549637,55.6409136448806,4157245.7482527816,7487261.312517768
"Мороженое на ул. Шолохова, 30",Западный административный округ,район Ново-Переделкино,"город Москва, улица Шолохова, дом 30",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007542,АЙС-КРИМ РИТЕЙЛ,11.01.2021,11.01.2026,,14.05.2021,14.05.2026,"{'coordinates': [37.3433500528336, 55.6439592495371], 'type': 'Point'}",171718451,37.3433500528336,55.6439592495371,4157042.712396402,7487862.059786952
"Мороженое на Проспект Вернадского, 79",Западный административный округ,район Проспект Вернадского,"город Москва, проспект Вернадского, дом 79",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007546,АЙС-КРИМ РИТЕЙЛ,11.01.2021,11.01.2026,,14.05.2021,14.05.2026,"{'coordinates': [37.497783601284, 55.671304582553], 'type': 'Point'}",171718455,37.497783601284,55.671304582553,4174234.1763712983,7493258.036252457
"Мороженое на ул. Ферганская, вл. 26",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, Ферганская улица, дом 26А",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007533,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,05.05.2021,05.05.2026,"{'coordinates': [37.822206, 55.702778], 'type': 'Point'}",171718458,37.822206,55.702778,4210348.712598297,7499473.26601337
Мороженое на Бирюлёвской 15,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 15",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004513,МОСХЛАДТОРГ,13.11.2017,13.11.2022,,24.05.2018,24.05.2023,"{'coordinates': [37.663108, 55.596492], 'type': 'Point'}",171718459,37.663108,55.596492,4192638.0042520687,7478504.421688056
"Мороженое на Ул. Донецкая, вл.9",Юго-Восточный административный округ,район Марьино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Донецкая улица, дом 9",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007540,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,05.05.2021,05.05.2026,"{'coordinates': [37.7173653244972, 55.6496138793877], 'type': 'Point'}",171718463,37.7173653244972,55.6496138793877,4198677.901986902,7488977.562668497
"Мороженое на ул. Верхняя Красносельская, вл. 15-17",Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Верхняя Красносельская улица, дом 15, строение 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004983,Роза,05.02.2018,05.02.2023,,06.03.2018,06.03.2023,"{'coordinates': [37.663471, 55.782802], 'type': 'Point'}",171718464,37.663471,55.782802,4192678.413227226,7515298.62273962
"Мороженое на ул. Б. Каменщики, д.3",Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 3, строение 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007146,АЙС-КРИМ РИТЕЙЛ,11.09.2020,11.09.2025,,25.05.2021,25.05.2026,"{'coordinates': [37.653751, 55.739255], 'type': 'Point'}",171718466,37.653751,55.739255,4191596.387776716,7506682.846383826
"Мороженое на ул.4-я Новокузьминская, вл.12",Юго-Восточный административный округ,Рязанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 4-я Новокузьминская улица, дом 12",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007539,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,01.06.2021,01.06.2026,"{'coordinates': [37.7885860204697, 55.7116158769015], 'type': 'Point'}",171718468,37.7885860204697,55.7116158769015,4206606.153596504,7501219.430479787
"Мороженое на Авиационный пер., вл. 4",Северный административный округ,район Аэропорт,"город Москва, Авиационный переулок, дом 4",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007549,КРОСС ЛИНК,11.01.2021,11.01.2026,,,,"{'coordinates': [37.5387758016586, 55.7993904256007], 'type': 'Point'}",171718469,37.5387758016586,55.7993904256007,4178797.4072434953,7518583.176350483
"Мороженое на ул. Черняховского, вл.4А",Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Черняховского, дом 4А",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002198,Островок Радости,14.09.2016,31.12.2023,,25.11.2016,31.12.2023,"{'coordinates': [37.534574, 55.803605], 'type': 'Point'}",171718470,37.534574,55.803605,4178329.6648224457,7519417.896503792
"Мороженое на ул. Дубнинская, вл. 12, корп. 2",Северный административный округ,район Восточное Дегунино,"город Москва, Дубнинская улица, дом 12, корпус 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008401,КРОСС ЛИНК,13.10.2021,13.10.2026,,05.05.2022,05.05.2027,"{'coordinates': [37.5699162483215, 55.8643068527365], 'type': 'Point'}",171718471,37.5699162483215,55.8643068527365,4182263.945909084,7531450.275166581
"Мороженое на ул. Куусинена, вл.5",Северный административный округ,Хорошёвский район,"город Москва, улица Куусинена, дом 5",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-006039,ТОРГОВЫЙ РЯД,17.12.2018,17.12.2023,,25.02.2019,25.02.2024,"{'coordinates': [37.5160413980484, 55.7794270567645], 'type': 'Point'}",171718472,37.5160413980484,55.7794270567645,4176266.6250101193,7514630.54595814
Мороженое на Хорошевское шоссе вл.80 к.4,Северный административный округ,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Хорошёвское шоссе, дом 80",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,аннулирован,НТО-01-02-004521,ТОРГОВАЯ КОМПАНИЯ МАРКО,30.10.2017,30.10.2022,,07.05.2018,13.10.2021,"{'coordinates': [37.51993060112, 55.7802234952082], 'type': 'Point'}",171718473,37.51993060112,55.7802234952082,4176699.5691156415,7514788.197328974
"Мороженое на Ул. Верхняя Масловка, вл.28",Северный административный округ,Савёловский район,"город Москва, улица Верхняя Масловка, дом 28",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004884,СНЕЖНАЯ КРЕПОСТЬ,09.01.2018,09.01.2023,,22.03.2018,22.03.2023,"{'coordinates': [37.558650970459, 55.7985883482291], 'type': 'Point'}",171718475,37.558650970459,55.7985883482291,4181009.9009137857,7518424.330651072
"Мороженое на Дмитровское ш., д.29",Северный административный округ,Тимирязевский район,"город Москва, Дмитровское шоссе, дом 29, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004798,ТОРГОВЫЙ РЯД,15.01.2018,15.01.2023,,26.02.2018,26.02.2023,"{'coordinates': [37.5719547271729, 55.8289200903549], 'type': 'Point'}",171718476,37.5719547271729,55.8289200903549,4182490.868336816,7524433.594835719
"Мороженое на Мусы Джалиля ул., вл. 8, корп. 4",Южный административный округ,район Зябликово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, улица Мусы Джалиля, дом 8, корпус 4",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-006637,ТОРГОВЫЙ РЯД,04.11.2019,04.11.2024,,04.11.2019,04.11.2024,"{'coordinates': [37.735755, 55.626601], 'type': 'Point'}",171718477,37.735755,55.626601,4200725.031299726,7484438.76044467
"Мороженое на Академика Миллионщикова ул., вл. 13",Южный административный округ,район Нагатино-Садовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, улица Академика Миллионщикова, дом 13, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007833,КРОСС ЛИНК,17.05.2021,17.05.2026,,11.04.2022,11.04.2027,"{'coordinates': [37.6498811, 55.670807], 'type': 'Point'}",171718478,37.6498811,55.670807,4191165.592479295,7493159.816029658
"Мороженое на Коломенская ул., вл.7",Южный административный округ,район Нагатинский Затон,"город Москва, Коломенская улица, дом 7",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004581,ТОРГОВЫЙ РЯД,03.11.2017,31.12.2023,,03.11.2017,31.12.2023,"{'coordinates': [37.7028096519729, 55.6821741332231], 'type': 'Point'}",171718479,37.7028096519729,55.6821741332231,4197057.571933343,7495403.941085586
Мороженое на Якорная 7,Южный административный округ,район Нагатинский Затон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Якорная улица, дом 7",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004745,Нощенко Антон Евгеньевич,21.11.2017,21.11.2022,,03.05.2018,03.05.2023,"{'coordinates': [37.7053543925285, 55.6850659522966], 'type': 'Point'}",171718481,37.7053543925285,55.6850659522966,4197340.851156194,7495974.954591172
"Мороженое на Андропова проспект, вл. 28",Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 28",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007548,КРОСС ЛИНК,11.01.2021,11.01.2026,,,,"{'coordinates': [37.6575440168381, 55.680005626753], 'type': 'Point'}",171718482,37.6575440168381,55.680005626753,4192018.624479704,7494975.77931388
"Мороженое на Варшавское ш., вл. 74, корп. 3 (дублер)",Южный административный округ,Нагорный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Варшавское шоссе, дом 74, корпус 3",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007529,АРЕСТАКЕСЯН ЭДГАР КАРЕНОВИЧ,05.01.2021,05.01.2026,,30.12.2021,30.12.2026,"{'coordinates': [37.6184636518145, 55.6549257688773], 'type': 'Point'}",171718483,37.6184636518145,55.6549257688773,4187668.218145261,7490025.599050423
"Мороженое на Электролитный пр., вл.9, корп.1",Южный административный округ,Нагорный район,"город Москва, Электролитный проезд, дом 9, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007530,АРЕСТАКЕСЯН ЭДГАР КАРЕНОВИЧ,05.01.2021,05.01.2026,,11.05.2021,11.05.2026,"{'coordinates': [37.609788, 55.672511], 'type': 'Point'}",171718484,37.609788,55.672511,4186702.449002971,7493496.182003452
Мороженое на Воронежская ул.. Вл. 15,Южный административный округ,район Зябликово,"город Москва, Воронежская улица, дом 15",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007531,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,19.05.2021,19.05.2026,"{'coordinates': [37.738263, 55.6108527155427], 'type': 'Point'}",171718485,37.738263,55.6108527155427,4201004.220582637,7481334.281158801
"Мороженое на Кавказский бульв., вл.14",Южный административный округ,район Царицыно,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кавказский бульвар, дом 14",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008059,Молочные Берега,06.09.2021,06.09.2026,,,,"{'coordinates': [37.6567715406418, 55.6329049361489], 'type': 'Point'}",171718488,37.6567715406418,55.6329049361489,4191932.632822881,7485681.812987978
"Мороженое на ул.Чертановская, вл. 2А",Южный административный округ,район Чертаново Северное,"город Москва, Чертановская улица, владение 2А",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007547,АРЕСТАКЕСЯН ЭДГАР КАРЕНОВИЧ,05.01.2021,05.01.2026,,30.12.2021,30.12.2026,"{'coordinates': [37.602512, 55.633705], 'type': 'Point'}",171718489,37.602512,55.633705,4185892.488387959,7485839.589261934
"Мороженое на Днепропетровская ул., вл.3",Южный административный округ,район Чертаново Центральное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Днепропетровская улица, дом 3, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-006034,Островок Радости,28.12.2018,28.12.2023,,18.04.2019,18.04.2024,"{'coordinates': [37.605974, 55.621744], 'type': 'Point'}",171718490,37.605974,55.621744,4186277.876465086,7483481.160868921
"Мороженое на Чертановская ул., вл. 22 9 (Днепропетровская ул., вл. 9 22)",Южный административный округ,район Чертаново Центральное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Днепропетровская улица, дом 9/22",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-006925,Айс Маркет,07.04.2020,07.04.2025,,15.06.2020,15.06.2025,"{'coordinates': [37.594738, 55.623446], 'type': 'Point'}",171718491,37.594738,55.623446,4185027.090666533,7483816.711390527
"Мороженое на Солнцевский проспект, вл. 1",Западный административный округ,район Солнцево,"город Москва, Солнцевский проспект, дом 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007537,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,25.05.2021,25.05.2026,"{'coordinates': [37.3964014649391, 55.6520595262839], 'type': 'Point'}",171718493,37.3964014649391,55.6520595262839,4162948.3685778505,7489460.071409541
"Мороженое на ул. Волынская, д. 12",Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Волынская улица, дом 12",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007541,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,05.05.2021,05.05.2026,"{'coordinates': [37.4116364121437, 55.6422396927151], 'type': 'Point'}",171718494,37.4116364121437,55.6422396927151,4164644.3151429286,7487522.870473934
"Мороженое на ул. Главмосстроя, д. 10",Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Главмосстроя, дом 10",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007532,АЙС-КРИМ РИТЕЙЛ,05.01.2021,05.01.2026,,19.05.2021,19.05.2026,"{'coordinates': [37.4107781052589, 55.6535546856539], 'type': 'Point'}",171718495,37.4107781052589,55.6535546856539,4164548.768857568,7489755.070565587
"Мороженое на Багратионовский проезд, д. 7",Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Багратионовский проезд, дом 7, корпус 1",8.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008022,Молочные Берега,19.07.2021,19.07.2026,,30.09.2021,30.09.2026,"{'coordinates': [37.501091, 55.74229], 'type': 'Point'}",171718496,37.501091,55.74229,4174602.354312215,7507283.009508411
"Мороженое на ул. Олеко Дундича, д. 3",Западный административный округ,район Филёвский Парк,"город Москва, улица Олеко Дундича, дом 3",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004605,МОСХЛАДТОРГ,04.12.2017,04.12.2022,,23.05.2018,23.05.2023,"{'coordinates': [37.4980521, 55.741584], 'type': 'Point'}",171718497,37.4980521,55.741584,4174264.0655116425,7507143.395732522
"Мороженое на ул. Олеко Дундича, д. 27",Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Олеко Дундича, дом 27",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003589,Айс Маркет,13.02.2017,31.12.2023,,20.03.2017,31.12.2023,"{'coordinates': [37.4850457906723, 55.7384911474851], 'type': 'Point'}",171718498,37.4850457906723,55.7384911474851,4172816.209780184,7506531.803945602
Мороженое на ул. Малая Филевская напротив д. 22-24,Западный административный округ,район Фили-Давыдково,"город Москва, Малая Филёвская улица, дом 22",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-005851,Роза,15.10.2018,15.10.2023,,01.11.2018,01.11.2023,"{'coordinates': [37.4649158120155, 55.7360720432882], 'type': 'Point'}",171718500,37.4649158120155,55.7360720432882,4170575.350806429,7506053.475354549
"Мороженое на ул. Маршала Бирюзова, вл.22",Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 22, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007690,АЙС-КРИМ РИТЕЙЛ,12.04.2021,12.04.2026,,05.05.2021,05.05.2026,"{'coordinates': [37.4893480539322, 55.7958291965233], 'type': 'Point'}",171718501,37.4893480539322,55.7958291965233,4173295.1355355335,7517877.925331701
"Мороженое на б-р Генерала Карбышева, вл.2",Северо-Западный административный округ,район Хорошёво-Мнёвники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, бульвар Генерала Карбышева, дом 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007830,КРОСС ЛИНК,17.05.2021,17.05.2026,,04.04.2022,04.04.2027,"{'coordinates': [37.4694836139679, 55.776922996528], 'type': 'Point'}",171718502,37.4694836139679,55.776922996528,4171083.836193815,7514134.899602856
