Name,AdmArea,District,Address,FacilityArea,ObjectType,Specialization,PeriodOfPlacement,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ObjectPhoto,StartDateTrading,EndDateTrading,geoData,global_id,longitude,latitude,x,y
"Мороженое на Генерала Кузнецова, вл.13-15",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, улица Генерала Кузнецова, дом 13, строение 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002996,Островок Радости,15.08.2016,31.12.2023,,16.12.2016,31.12.2023,"{'coordinates': [37.8588809999999, 55.6872329999999], 'type': 'Point'}",20274080,37.8588809999999,55.6872329999999,4214431.354923128,7496402.883694962
"Мороженое на Авиаконструктора Миля ул., вл.5",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, улица Авиаконструктора Миля, дом 5, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003209,Айс Маркет,15.08.2016,31.12.2023,,17.01.2017,31.12.2023,"{'coordinates': [37.853731, 55.686912], 'type': 'Point'}",20274081,37.853731,55.686912,4213858.059545555,7496339.494003787
"Мороженое на Жулебинский бульвар, 14",Юго-Восточный административный округ,район Выхино-Жулебино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Жулебинский бульвар, дом 14",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002970,Островок Радости,15.08.2016,31.12.2023,,15.12.2016,31.12.2023,"{'coordinates': [37.851268999, 55.697667], 'type': 'Point'}",20274082,37.851268999,55.697667,4213583.990847901,7498463.628289481
"Цветы на Привольная ул., вл.13",Юго-Восточный административный округ,район Выхино-Жулебино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Привольная улица, дом 13, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-005098,Роза,07.05.2018,07.05.2023,,02.10.2018,02.10.2023,"{'coordinates': [37.839815, 55.702314], 'type': 'Point'}",20274083,37.839815,55.702314,4212308.937511675,7499381.6010250915
"Мороженое на Привольная ул., вл.5-7",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, Привольный проезд, дом 5",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-005006,Роза,26.02.2018,26.02.2023,,02.04.2018,02.04.2023,"{'coordinates': [37.84099, 55.702326], 'type': 'Point'}",20274084,37.84099,55.702326,4212439.737913357,7499383.97165763
"Мороженое на Ферганская ул., 14",Юго-Восточный административный округ,район Выхино-Жулебино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Ферганская улица, дом 14/13",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003555,Островок Радости,15.08.2016,31.12.2023,,07.04.2017,31.12.2023,"{'coordinates': [37.810386, 55.707508], 'type': 'Point'}",20274086,37.810386,55.707508,4209032.91621712,7500407.757844289
"Мороженое на Маршала Полубоярова, д. 16",Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, улица Маршала Полубоярова, дом 16, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002994,Островок Радости,15.08.2016,31.12.2023,,16.12.2016,31.12.2023,"{'coordinates': [37.862916999, 55.68561], 'type': 'Point'}",20274088,37.862916999,55.68561,4214880.640276662,7496082.386012502
"Мороженое на Ул. Ставропольская, д. 62",Юго-Восточный административный округ,район Люблино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Ставропольская улица, дом 62",9.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004462,МОСХЛАДТОРГ,03.07.2017,31.12.2023,,16.11.2017,31.12.2023,"{'coordinates': [37.772202, 55.681020999], 'type': 'Point'}",20274113,37.772202,55.681020999,4204782.292780669,7495176.25700556
"Мороженое на Марьинский б-р, д.3",Юго-Восточный административный округ,район Марьино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Марьинский бульвар, дом 3",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002810,ГАЛИОН-М,15.08.2016,31.12.2023,,18.11.2016,31.12.2023,"{'coordinates': [37.749082, 55.648952], 'type': 'Point'}",20274114,37.749082,55.648952,4202208.58615353,7488846.983753552
"Мороженое на Волжский бульвар, 44",Юго-Восточный административный округ,район Текстильщики,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Волжский бульвар, дом 44",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-005748,Роза,17.09.2018,17.09.2023,,01.10.2018,01.10.2023,"{'coordinates': [37.750872, 55.6991349999999], 'type': 'Point'}",20274136,37.750872,55.6991349999999,4202407.8480420485,7498753.606592233
"Мороженое на Чистова ул., 9",Юго-Восточный административный округ,район Текстильщики,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Чистова, дом 9/19",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003559,ГАЛИОН-М,16.12.2016,31.12.2023,,16.03.2017,31.12.2023,"{'coordinates': [37.739206, 55.696775], 'type': 'Point'}",20274138,37.739206,55.696775,4201109.194862455,7498287.434258425
"Бытовые услуги на Южнопортовая ул., вл.18",Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Южнопортовая улица, дом 18",9.0,киоск,бытовые услуги,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007063,СТАРБЕНД,10.09.2020,10.09.2025,,,,"{'coordinates': [37.6849449999999, 55.706346], 'type': 'Point'}",20274143,37.6849449999999,55.706346,4195068.8879725095,7500178.174528657
"Церковная лавка на Большая Тульская ул., вл. 9",Южный административный округ,Даниловский район,"город Москва, Большая Тульская улица, дом 9",6.0,киоск,церковная продукция,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003877,Карнова Ольга Сергеевна,27.03.2017,31.12.2023,,07.06.2017,31.12.2023,"{'coordinates': [37.623714, 55.710521], 'type': 'Point'}",20274149,37.623714,55.710521,4188252.6842317577,7501003.086147081
"Хлеб, хлебобулочные изделия на Автозаводская ул., вл. 13",Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 13/1",6.0,киоск,хлеб,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003479,Гасанов Халил Рафаэль-Оглы,27.03.2017,31.12.2023,,30.05.2017,31.12.2023,"{'coordinates': [37.655814, 55.705624], 'type': 'Point'}",20274152,37.655814,55.705624,4191826.0398862218,7500035.528093291
"Хлеб, хлебобулочные изделия на Шаболовка ул., вл. 40",Южный административный округ,Донской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 40",6.0,киоск,хлеб,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003481,Струнин Сергей Вадимович,27.03.2017,31.12.2023,,29.05.2017,31.12.2023,"{'coordinates': [37.607775, 55.716751], 'type': 'Point'}",20274155,37.607775,55.716751,4186478.362868004,7502234.19603742
"мороженое на Ленинский проспект, вл.34/1",Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 34/1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002987,ГАЛИОН-М,29.08.2016,31.12.2023,,14.12.2016,31.12.2023,"{'coordinates': [37.576576999, 55.7063029999999], 'type': 'Point'}",20274170,37.576576999,55.7063029999999,4183005.417282915,7500169.6788915
"мороженое на Ломоносовский проспект, вл.5",Юго-Западный административный округ,Гагаринский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ломоносовский проспект, дом 5",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003213,Айс Маркет,26.08.2016,31.12.2023,,17.01.2017,31.12.2023,"{'coordinates': [37.5475449999999, 55.686386], 'type': 'Point'}",20274172,37.5475449999999,55.686386,4179773.589937514,7496235.62292447
"Мороженое на Симферопольский бульвар, вл. 22",Юго-Западный административный округ,район Зюзино,"город Москва, Симферопольский бульвар, дом 22",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003547,АЙС-КРИМ МАРКЕТ,16.12.2016,31.12.2023,,23.03.2017,31.12.2023,"{'coordinates': [37.60503, 55.647886], 'type': 'Point'}",20274180,37.60503,55.647886,4186172.790865776,7488636.682518939
"мороженое на Миклухо-Маклая ул., вл.45а/102а",Юго-Западный административный округ,район Коньково,"город Москва, улица Миклухо-Маклая, дом 43",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004375,МОСХЛАДТОРГ,16.10.2017,16.10.2022,,25.05.2018,25.05.2023,"{'coordinates': [37.524467, 55.643494], 'type': 'Point'}",20274191,37.524467,55.643494,4177204.558728999,7487770.286025437
"Мороженое на Гарибальди ул., вл. 10",Юго-Западный административный округ,Ломоносовский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Гарибальди, дом 10А",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004373,МОСХЛАДТОРГ,16.10.2017,16.10.2022,,10.01.2018,10.01.2023,"{'coordinates': [37.538383, 55.6753349999999], 'type': 'Point'}",20274201,37.538383,55.6753349999999,4178753.6807628777,7494053.665852799
"Мороженое на Ленинский проспект, вл. 89",Юго-Западный административный округ,Ломоносовский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 89/2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004886,СНЕЖНАЯ КРЕПОСТЬ,09.01.2018,09.01.2023,,22.03.2018,22.03.2023,"{'coordinates': [37.532112, 55.678359], 'type': 'Point'}",20274203,37.532112,55.678359,4178055.596236113,7494650.676182059
"Мороженое на Строителей ул., вл. 11",Юго-Западный административный округ,Ломоносовский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Строителей, дом 11, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004545,Спутник,03.11.2017,31.12.2023,,03.11.2017,31.12.2023,"{'coordinates': [37.5334429999999, 55.687698], 'type': 'Point'}",20274208,37.5334429999999,55.687698,4178203.762478347,7496494.710806046
"Мороженое на Ленинский проспект, вл. 86",Юго-Западный административный округ,Ломоносовский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 86",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004539,Спутник,03.11.2017,31.12.2023,,03.11.2017,31.12.2023,"{'coordinates': [37.529044, 55.6775969999999], 'type': 'Point'}",20274209,37.529044,55.6775969999999,4177714.0680383584,7494500.23470589
"Мороженое на Профсоюзная ул., 126",Юго-Западный административный округ,район Тёплый Стан,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 126",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004540,Спутник,03.11.2017,31.12.2023,,03.11.2017,31.12.2023,"{'coordinates': [37.517166, 55.632012], 'type': 'Point'}",20274232,37.517166,55.632012,4176391.8151267166,7485505.725673614
